species_guid,record_guid,scientific_name,species_type,medium_guid,medium_scientific_name,description,medium_type,reference_id,reference_name,page,author,created_time,editor,update_time,temp_guid,temp_scientific_name,named_year
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,4ff35dca-f03f-417d-92d3-1d89b19b544d,Potyvirus plumpoxi,有害生物,e82bbee0-83ab-4ff7-ad7e-df2a42ae6750,Aphis hederae,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:56:49,cpqis.wangxiufen,2024-12-24 19:56:49,,,Kaltenbach
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,7a604197-0068-4666-807c-201197f766ac,Potyvirus plumpoxi,有害生物,197e5ba4-6f96-4d50-9ac7-8f5ef333c9b4,Aphis spiraecola,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:56:34,cpqis.wangxiufen,2024-12-24 19:56:34,,,"Patch, 1914"
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,60b13bc3-485c-4f8d-b44a-1e4541b377f0,Potyvirus plumpoxi,有害生物,b35afd8c-b07c-4021-a00a-b2fe8bee5a83,Brachycaudus cardui,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:56:14,cpqis.wangxiufen,2024-12-24 19:56:14,,,(Linnaeus)
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,97cc948c-b6d4-4151-9020-fb4a40022ab0,Potyvirus plumpoxi,有害生物,019382ef-16fa-461c-bfef-6c3a507e0871,Brachycaudus helichrysi,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:55:49,cpqis.wangxiufen,2024-12-24 19:55:49,,,"(Kaltenbach, 1843)"
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,64e00ad5-1f66-458a-84cf-75d339551544,Potyvirus plumpoxi,有害生物,6add1e75-dfd9-4767-89e7-f5b162adf5c0,Brachycaudus persicae,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:55:30,cpqis.wangxiufen,2024-12-24 19:55:30,,,(Passerini)
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,90c15756-eebc-4133-83d6-4050fb9a1822,Potyvirus plumpoxi,有害生物,46b71d58-b7e2-499c-a754-606537f2b855,Hyalopterus pruni,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:55:09,cpqis.wangxiufen,2024-12-24 19:55:09,,,(Geoffroy)
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,8da46541-e47e-4c2a-b712-f8f936b9688a,Potyvirus plumpoxi,有害生物,7dd638d7-e58a-49cd-9266-2cc66f05e228,Metopolophium dirhodum,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:54:46,cpqis.wangxiufen,2024-12-24 19:54:46,,,(Walker)
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,dce49ef6-7451-4dbd-b776-5c6873b23c34,Potyvirus plumpoxi,有害生物,691aeab6-ad56-46b9-80a7-392930e619f0,Myzus persicae,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:54:26,cpqis.wangxiufen,2024-12-24 19:54:26,,,"(Sulzer, 1776)"
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,016d0481-055c-4659-8162-033f160555b6,Potyvirus plumpoxi,有害生物,cc6de773-c8f6-420f-966a-cbe587ecbab6,Myzus varians,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:54:04,cpqis.wangxiufen,2024-12-24 19:54:04,,,Davidson
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,f12ed0fa-3f2f-4382-9bac-804ac065ab9f,Potyvirus plumpoxi,有害生物,99692bb5-b12e-4b67-a649-92e8f2b40c30,Rhopalosiphum padi,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:53:41,cpqis.wangxiufen,2024-12-24 19:53:41,,,(Linnaeus)
6af1f7cf-abb4-4b31-9f43-17f065abcdf3,c137a7ea-a2eb-4d3b-8009-8042d38d5dce,Potyvirus plumpoxi,有害生物,6a77052a-db4c-4714-8f20-05303510ad5c,Phorodon humuli,,媒介,16574330,Plum pox virus (sharka),,cpqis.wangxiufen,2024-12-24 19:53:10,cpqis.wangxiufen,2024-12-24 19:53:10,,,(Schrank)
