species_guid,plant_parts,pest_stage,visibility_type,spreading_way
d8bf658d-d30d-4065-8b84-7bf0377e8564,茎;枝;芽,菌丝/子实体,裸眼可见,
d8bf658d-d30d-4065-8b84-7bf0377e8564,花,,,
d8bf658d-d30d-4065-8b84-7bf0377e8564,果实（包括果柄）,菌丝/子实体,裸眼可见,
832e3be0-e79d-42bc-92d8-daa37204bbfa,种子,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,种苗;组培苗,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,叶,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,茎;枝;芽,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,花,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,果实（包括果柄）,,,
832e3be0-e79d-42bc-92d8-daa37204bbfa,根,,,
108be5f8-d290-4f45-bc28-2cee3bb7f8d5,全株,,,
165ac9cc-6008-4d0b-8800-d6bec099cab6,叶,,,
af8fbac5-ac2a-49aa-9a88-552eb879bab0,全株,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,种子,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,种苗;组培苗,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,叶,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,茎;枝;芽,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,花,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,果实（包括果柄）,,,
1d8cb190-f895-4667-8757-7fb1a4f50b13,根,,,
09d10361-be71-45a7-b92f-21548a3dea8d,全株,,,
b2bb0835-62fc-49c8-aae5-58f1e5725941,种苗;组培苗,,裸眼可见,
b2bb0835-62fc-49c8-aae5-58f1e5725941,叶,,裸眼可见,
b2bb0835-62fc-49c8-aae5-58f1e5725941,茎;枝;芽,,裸眼可见,
b2bb0835-62fc-49c8-aae5-58f1e5725941,花,,不可见,
b2bb0835-62fc-49c8-aae5-58f1e5725941,根,,不可见,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,种子,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,种苗;组培苗,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,叶,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,茎;枝;芽,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,花,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,果实（包括果柄）,,,
bc64e12a-63dd-49e2-8552-cbe2d1bc4456,根,,,
058cf25b-4734-4362-815b-54f3df205798,茎;枝;芽,,,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,种子,,,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,种苗;组培苗,,裸眼可见,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,叶,,裸眼可见,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,茎;枝;芽,,不可见,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,花,,不可见,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,果实（包括果柄）,,,
3d084fff-f4f3-4d4a-9a1e-c7728ad11108,根,,不可见,
6c7a4443-b0a4-4984-9d8e-f6202f9f2837,树皮,卵,裸眼可见,
6c7a4443-b0a4-4984-9d8e-f6202f9f2837,木材,幼虫/蛹,裸眼可见,
6c7a4443-b0a4-4984-9d8e-f6202f9f2837,茎;枝;芽,卵/幼虫/蛹/成虫,裸眼可见,
6c7a4443-b0a4-4984-9d8e-f6202f9f2837,花,成虫,裸眼可见,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,种子,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,种苗;组培苗,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,叶,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,茎;枝;芽,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,花,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,果实（包括果柄）,,,
11d3b050-fdd8-4aa2-80e2-f69a304c777c,根,,,
c1f5bbf0-a520-4fdf-a090-c7f0ffd789d2,全株,,,
da9edcef-2598-4686-8840-d3ee26823300,全株,,,
