id,species_guid,host_guid,host_name,host_name_cn,host_types
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,c020f2fe-4522-48db-8676-57ea981c50a1,Boehmeria nivea,苎麻,"接种寄主,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,0b4d9402-b27c-43ea-9367-4b4412ded955,Bombax ceiba,木棉,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,504f6a16-d774-495e-a5b4-fa25582e64ee,Brassica oleracea var. capitata,甘蓝,",,接种寄主,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,b7ece499-da3d-4780-8e0f-0c11819e58c5,Brassica oleracea var. viridis,,",,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,80197173-8b85-4cea-aa62-c01a986aeb9a,Brassica rapa ssp. oleifera,,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,d3eb7b86-1e0a-4e8e-9547-399f3a8dc1c8,Brassica rapa subsp. oleifera,,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,c0c9ac3d-8956-4378-a2c2-daaaf0c19602,Bryophyllum pinnatum,落地生根,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,64597db5-aaa9-4a17-aea6-57fd09ac1dfd,Cajanus cajan,木豆,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,14103540-7b4e-4989-9c15-fd4d984aadf9,Caladium bicolor hybrids,,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,8ce45f53-3b6d-4e86-be48-7731a94857d9,Camellia sinensis,茶,",接种寄主,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,d875d20b-574a-4110-b545-f2230083d02f,Canavalia ensiformis,洋刀豆,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,9de8fce8-03ce-42f8-a45d-ec8a5f72eb7e,Capparis spinosa,刺山柑,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,0df374b8-f392-4bb7-b870-c63f439b5818,Capsicum,辣椒属,",,为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,b42ec4d9-d4e2-4b5f-8366-80d97b3e1922,Capsicum annuum,辣椒,",接种寄主,其他,危害植物,为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,9acedc8d-50c9-4886-a320-14f55a70a020,Carica papaya,番木瓜,",接种寄主,其他,为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,07b2e611-41e6-4b4f-a46d-66ade909b953,Carthamus tinctorius,红花,",接种寄主,为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,dc5beb78-1370-4174-8665-3aacb348e3cb,Cassia senna,,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,f87ed5f5-756f-4c97-b5fb-7fa563a530ac,Castanea mollissima,栗,",为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,265e0338-7f31-412e-915a-dc932f1c9aee,Cattleya,卡特兰属,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,ec2eaaea-0a15-414b-9d3d-7e0444ec5a73,Centaurea cyanus,矢车菊,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,8c433f50-534a-47f9-b9fd-8d17e4f13689,Chamaerops humilis,欧洲矮棕，欧洲蒲葵,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,7b45599d-84ee-4696-8572-32a5546a746a,Chenopodium quinoa,藜麦,",接种寄主,其他,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,d7d0a07d-eae5-4d20-a52d-d0be6bcc52fa,Chloranthus spicatus,金粟兰,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,34d6094d-002f-44ad-a3ff-9c2a229e913e,Chlorophytum,吊兰属,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,77e9fc6e-fef6-45ba-9a9a-6034db1e3806,Chrysanthemum,菊属,",自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,8bc05db8-5f26-484e-b023-59943f9d01cf,Chrysanthemum × morifolium,菊花，杭白菊,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,d8b515af-fbc2-41e1-9e90-a36a1ef019a0,Chrysanthemum cinerariaefolium,除虫菊,自然寄主
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,840ac0dd-34dc-4202-a864-3cb6a4f17660,Cicer arietinum,鹰嘴豆,"为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,a2c0a057-5d1e-4cc5-b7f1-27b314937874,Cichorium,菊苣属,"为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,85b88ecb-1646-4ee2-b65c-7cbdc79f88e0,Cinnamomum camphora,樟,",接种寄主,其他,为害植物,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,5ecddd15-4620-4965-9b07-19be8df82161,Citrullus lanatus,西瓜,",接种寄主,其他,自然寄主"
,6fc59a9e-a026-48af-8db8-4ae1f4207aa2,aeab3290-6796-477c-a591-4437868ebc74,Citrus,柑橘属,",,接种寄主,其他,为害植物,自然寄主"
